country,population,total_cases,total_deaths,incidence,mortality,cfr,recovery_rate,vaccination_rate
Belgium,11641814.0,4907118.0,34339.0,2.881853291935432,2.7744817087783744,0.7134453313936594,97.78941640966056,65.92016674785428
Belize,402741.0,71493.0,688.0,0.0,3.4761794801125285,0.9719985306998955,98.2830720853779,33.617658802579136
Benin,13759507.0,28036.0,163.0,0.0,0.06540932026125645,0.5818519311772685,99.21834517937695,9.82602440008581
Bermuda,64772.0,18860.0,165.0,0.0,15.438769838819244,0.8748674443266171,98.4943218592982,50.78907552646205
Bhutan,780921.0,63193.0,21.0,0.0,0.25610785213869264,0.03349442557060146,99.95853111501029,66.9396524143035
Bolivia,12077156.0,1212180.0,22389.0,0.053820618032921,13.330953082000432,1.871592212105681,97.31209025367843,30.741704996301177
Bonaire Sint Eustatius and Saba,28654.0,11922.0,41.0,0.0,10.46974244433587,0.3439020298607616,99.50926003466701,32.108955119704056
Bosnia and Herzegovina,3204802.0,404289.0,16419.0,0.34323493307854896,3.089114397706941,4.058547592185737,95.97094357360994,9.186696356636965
Botswana,2439895.0,330699.0,2801.0,0.0,5.778937208363475,0.8474345432479139,98.91631225742753,32.23831831561058
Brazil,210306411.0,37978000.0,703774.0,0.7170489919111406,2.0203853890122256,1.8812607887981396,97.7019188036242,51.76912998465704
British Virgin Islands,38346.0,7661.0,64.0,0.0,18.254837531945967,0.8646311807619562,98.37689366627866,39.11631846414455
Brunei,455374.0,350550.0,182.0,0.0,2.4155968500617075,0.05377684390469747,99.56346414996217,39.153524289258876
Bulgaria,6825862.0,1341065.0,38778.0,0.0,17.375094896439453,2.957452297786024,96.73433500921588,24.47230744614237
Burkina Faso,22509038.0,22217.0,400.0,0.0,0.1377224561973728,1.8007473101337057,97.96165143093314,6.223013479074494
Burundi,13321102.0,54569.0,15.0,0.0,0.015013772884555647,0.027940245129083933,99.77016362074723,0.1266336673947846
Cambodia,17201721.0,139326.0,3056.0,0.0,0.2499749879677737,2.1934483649622463,98.28020186721189,50.82187654954379
Cameroon,27632770.0,125320.0,1974.0,0.0,0.48131258646889186,1.5780133339728524,98.31055058493247,2.8855777035744152
Canada,38821259.0,4819055.0,55282.0,0.0,0.9839969383785312,1.1471543694770032,98.1787749882773,56.72443759229278
Cape Verde,519750.0,64550.0,417.0,0.0,0.9620009620009621,0.6516306582734951,99.27570960773672,32.2415996701711
Cayman Islands,71610.0,31472.0,37.0,0.0,4.189359028068705,0.1175648195221149,99.38423982578556,59.271760838581116
Central African Republic,5098038.0,15492.0,113.0,0.0,0.13730772505030367,0.7353419665517017,99.2258895700098,22.370670035399094
Chad,18455319.0,7702.0,194.0,0.0,0.06502190506704328,2.520790020790021,96.68826922374548,5.36436706172041
Chile,19553033.0,5410454.0,64497.0,2.6594339609614526,58.54334721370337,1.1661653689028078,98.47728886494484,69.81357120966995
China,1425179562.0,99381761.0,122398.0,0.002946997074604414,3.090628098692872,0.12315941956391778,98.24504125734995,84.20810055860719
Colombia,51737944.0,6402780.0,142805.0,0.0,1.3916285502183852,2.242201499325558,97.5938026573918,34.83795159274684
Comoros,834191.0,9109.0,161.0,0.0,0.9590129838370349,1.7565045559336918,97.79544635840224,21.262880243653232
Congo,6035104.0,25234.0,389.0,0.0,0.331394454842866,1.5426101439505095,98.36547813136374,3.3855747970540357
Cook Islands,14747.0,7375.0,2.0,0.0,6.781040211568454,0.02711864406779661,99.97597622641085,95.14738330090606
Costa Rica,5081764.0,1242731.0,9397.0,0.0,0.9839103114587769,0.7611218380044078,99.10494983722542,47.93906587337314
Croatia,3907031.0,1371473.0,18805.0,0.998200423800067,2.354729204861697,1.4218124469246634,98.35799591849984,45.83798416984349
Cuba,11059822.0,1113834.0,8530.0,0.01808347367615862,0.8860902101317725,0.7659883224945536,98.9607914753092,75.59602626227908
Curacao,185350.0,45883.0,305.0,0.0,7.553277582951174,0.6647342152867075,98.94768329361746,46.37992236237103
Cyprus,1331376.0,718652.0,1364.0,0.0,2.103087332203675,0.2051503288371602,99.5919130386462,31.7705857913703
Czechia,10673216.0,4886177.0,43927.0,1.3210638667857937,2.4453735406460435,0.9214866605227294,98.79966653111215,54.058812670553664
Democratic Republic of Congo,102396974.0,101010.0,1474.0,0.0,0.20410759403886292,1.5050673120556648,97.42300448711715,1.6296096213727054
Denmark,5902901.0,3453415.0,10012.0,1.8634905108522064,2.032898739111498,0.2900293853184645,99.24095796108553,63.510920134456384
Djibouti,1137101.0,15690.0,189.0,0.0,0.5276576135277341,1.2045889101338432,98.83234298918406,15.757444896457175
Dominica,66847.0,16047.0,74.0,0.0,8.975720675572576,0.4611453854302985,99.63788338891564,30.85869223749757
Dominican Republic,11230734.0,661103.0,4384.0,0.0,0.41849446349633074,0.6633579469797846,99.00493308521035,45.72576925916121
East Timor,1369299.0,23460.0,138.0,0.0,0.3651503433508679,0.5882352941176471,99.5407031838019,38.62003205771402
Ecuador,17823900.0,1081993.0,36064.0,0.0028052222016505925,49.29336452740422,3.400175231212285,95.68883094271892,47.886057204573966
Egypt,112618252.0,516023.0,24830.0,0.0,0.08613168671806415,4.8118010243729445,95.0005343419191,18.63541559853016
El Salvador,6280316.0,202066.0,4230.0,0.0,0.3025325477253055,2.0962698290771953,97.61361862505781,40.11469196210921
